hand,ioc,height,player,fullname,birthdate
R,FRA,162.0,Francoise Durr,Durr F.,1942-12-25
R,USA,171.0,Carol Aucamp,Aucamp C.,1943-04-02
R,RSA,180.0,Annette Van Zyl,Van Zyl A.,1943-09-25
R,USA,168.0,Billie Jean King,King J.,1943-11-22
R,NED,185.0,Betty Stove,Stove B.,1945-06-24
R,GBR,170.0,Virginia Wade,Wade V.,1945-07-10
R,USA,170.0,Julie Heldman,Heldman J.,1945-12-08
L,USA,158.0,Stephanie Defina,Defina S.,1946-03-08
R,HUN,175.0,Marie Pinterova,Pinterova M.,1946-08-16
R,AUS,166.0,Helen Gourlay,Gourlay H.,1946-12-23
R,AUS,188.0,Karen Krantzcke,Krantzcke K.,1947-02-01
R,AUS,166.0,Kerry Reid,Reid K.,1947-08-07
R,FRG,173.0,Katja Ebbinghaus,Ebbinghaus K.,1948-06-01
R,USA,157.0,Rosie Casals,Casals R.,1948-09-16
R,URS,170.0,Olga Morozova,Morozova O.,1949-02-22
R,USA,173.0,Valerie Ziegenfuss,Ziegenfuss V.,1949-06-29
R,AUS,173.0,Kerry Harris,Harris K.,1949-09-19
R,GER,172.0,Heidi Eisterlehner,Eisterlehner H.,1949-10-25
R,USA,175.0,Betty Ann Grubb,Grubb A.,1950-02-26
R,AUS,168.0,Lesley Hunt,Hunt L.,1950-05-29
R,USA,163.0,Linda Tuero,Tuero L.,1950-10-21
R,USA,154.0,Pam Richmond,Richmond P.,1950-10-25
R,AUS,168.0,Cynthia Doerner,Doerner C.,1951-02-11
R,USA,178.0,Pam Teeguarden,Teeguarden P.,1951-04-17
R,AUS,168.0,Evonne Goolagong,Goolagong E.,1951-07-31
R,URU,170.0,Fiorella Bonicelli,Bonicelli F.,1951-12-21
R,USA,174.0,Sharon Walsh Pete,Walsh Pete S.,1952-02-24
L,USA,168.0,Kristien Shaw,Shaw K.,1952-07-25
R,USA,168.0,Kate Latham,Latham K.,1952-10-25
R,AUS,164.0,Wendy Turnbull,Turnbull W.,1952-11-26
R,USA,170.0,Janet Newberry,Newberry J.,1953-08-06
R,GBR,173.0,Glynis Coles,Coles G.,1954-02-20
R,USA,173.0,Joanne Russell,Russell J.,1954-10-30
R,GER,168.0,Renata Tomanova,Tomanova R.,1954-12-09
R,USA,168.0,Chris Evert,Evert C.,1954-12-21
R,ROU,173.0,Virginia Ruzici,Ruzici V.,1955-01-31
R,USA,173.0,Candy Reynolds,Reynolds C.,1955-03-24
R,USA,165.0,Diane Desfor,Desfor D.,1955-06-15
R,ROU,165.0,Florenta Mihai,Mihai F.,1955-09-02
L,USA,180.0,Terry Holladay,Holladay T.,1955-11-28
R,RSA,169.0,Brigette Cuypers,Cuypers B.,1955-12-03
R,USA,165.0,Marita Redondo,Redondo M.,1956-02-19
L,RSA,164.0,Ilana Kloss,Kloss I.,1956-03-12
R,AUS,175.0,Chris Oneil,Oneil C.,1956-03-19
R,GBR,165.0,Sue Barker,Barker S.,1956-04-19
R,USA,163.0,Rayni Fox,Fox R.,1956-05-24
R,USA,173.0,Kathy May,May K.,1956-06-18
R,SLO,160.0,Mima Jausovec,Jausovec M.,1956-07-20
L,AUS,165.0,Dianne Fromholtz,Fromholtz D.,1956-08-10
R,SWE,168.0,Helena Anliot,Anliot H.,1956-09-26
L,USA,173.0,Martina Navratilova,Navratilova M.,1956-10-18
R,USA,175.0,Betsy Nagelsen,Nagelsen B.,1956-10-23
R,RSA,156.0,Yvonne Vermaak,Vermaak Y.,1956-12-18
R,USA,170.0,Paula Smith,Smith P.,1957-01-10
R,RSA,168.0,Greer Stevens,Stevens G.,1957-02-15
L,USA,183.0,Mary Carillo,Carillo M.,1957-03-12
R,USA,165.0,Barbara Jordan,Jordan B.,1957-04-02
R,USA,173.0,Barbara Hallquist,Hallquist B.,1957-05-01
L,AUS,168.0,Leanne Harrison Austin,Harrison Austin L.,1958-04-10
R,RSA,168.0,Marise Kruger,Kruger M.,1958-07-17
R,RSA,162.0,Tanya Harford,Harford T.,1958-11-28
R,USA,165.0,Lea Antonoplis,Antonoplis L.,1959-01-20
L,USA,161.0,Stacy Margolin,Margolin S.,1959-04-05
R,USA,173.0,Sherry Acker,Acker S.,1959-06-06
R,USA,165.0,Anne Smith,Smith A.,1959-07-01
R,GBR,167.0,Anne Hobbs,Hobbs A.,1959-08-21
R,FRA,167.0,Catherine Suire,Suire C.,1959-09-15
L,GER,173.0,Sylvia Hanika,Hanika S.,1959-11-30
R,USA,173.0,Kathy Jordan,Jordan K.,1959-12-03
R,ITA,170.0,Sabina Simmonds,Simmonds S.,1960-04-17
R,AUS,168.0,Amanda Tobin,Tobin A.,1960-06-08
R,GBR,163.0,Jo Durie,Durie J.,1960-07-27
R,USA,173.0,Rosalyn Fairbank,Fairbank R.,1960-11-02
R,SUI,165.0,Hana Strachonova,Strachonova H.,1961-01-02
R,GER,175.0,Eva Pfaff,Pfaff E.,1961-02-10
R,USA,165.0,Heather Ludloff,Ludloff H.,1961-06-11
R,USA,165.0,Kathleen Cummings,Cummings K.,1961-09-05
R,SUI,173.0,Christiane Jolissaint,Jolissaint C.,1961-09-12
R,USA,180.0,Anne White,White A.,1961-09-28
L,USA,175.0,Barbara Potter,Potter B.,1961-10-22
L,RSA,178.0,Jennifer Mundel,Mundel J.,1962-01-20
R,AUS,173.0,Hana Mandlikova,Mandlikova H.,1962-02-19
R,RSA,160.0,Beverly Mould,Mould B.,1962-03-13
R,USA,168.0,Susie Jaeger,Jaeger S.,1962-03-29
R,USA,183.0,Pam Shriver,Shriver P.,1962-07-04
R,USA,168.0,Vicki Nelson,Nelson V.,1962-09-25
R,USA,165.0,Tracy Austin,Austin T.,1962-12-12
R,AUS,165.0,Anne Minter,Minter A.,1963-04-03
R,AUS,170.0,Liz Smylie,Smylie L.,1963-04-11
R,GER,173.0,Bettina Bunge,Bunge B.,1963-06-13
R,SWE,165.0,Catarina Lindqvist Ryan,Lindqvist Ryan C.,1963-06-13
R,FRA,165.0,Sophie Amiach,Amiach S.,1963-11-10
R,USA,164.0,Zina Garrison,Garrison Z.,1963-11-16
R,USA,164.0,Robin White,White R.,1963-12-10
R,GER,187.0,Claudia Kohde Kilsch,Kohde Kilsch C.,1963-12-11
R,PER,173.0,Laura Arraya,Arraya L.,1964-01-12
R,USA,173.0,Andrea Leand,Leand A.,1964-01-18
R,USA,170.0,Gretchen Magers,Magers G.,1964-02-07
R,NED,173.0,Manon Bollegraf,Bollegraf M.,1964-04-10
L,GBR,188.0,Sara Gomer,Gomer S.,1964-05-13
R,USA,170.0,Beth Herr,Herr B.,1964-05-28
R,USA,173.0,Susan Mascarin,Mascarin S.,1964-06-28
R,JPN,164.0,Etsuko Inoue,Inoue E.,1964-10-18
R,CAN,170.0,Jill Hetherington,Hetherington J.,1964-10-27
R,CZE,188.0,Helena Sukova,Sukova H.,1965-02-23
R,ITA,170.0,Sandra Cecchini,Cecchini S.,1965-02-27
R,USA,165.0,Patty Fendick,Fendick P.,1965-03-31
R,FRA,174.0,Catherine Tanvier,Tanvier C.,1965-05-28
R,USA,168.0,Andrea Jaeger,Jaeger A.,1965-06-04
R,CAN,163.0,Patricia Hy Boulais,Hy Boulais P.,1965-08-22
R,USA,170.0,Kathy Horvath,Horvath K.,1965-08-25
L,NZL,175.0,Belinda Cordwell,Cordwell B.,1965-09-21
R,ISR,169.0,Ilana Berger,Berger I.,1965-12-31
L,CAN,165.0,Rene Simpson,Simpson R.,1966-01-14
R,SUI,180.0,Eva Krapl,Krapl E.,1966-01-16
R,HUN,182.0,Andrea Temesvari,Temesvari A.,1966-04-26
L,USA,175.0,Camille Benjamin,Benjamin C.,1966-06-02
R,ARG,180.0,Mercedes Paz,Paz M.,1966-06-27
R,SUI,173.0,Manuela Maleeva Fragniere,Maleeva Fragniere M.,1967-02-14
R,NED,179.0,Nicole Jagerman,Jagerman N.,1967-07-23
R,CAN,168.0,Carling Bassett Seguso,Bassett Seguso C.,1967-10-09
R,FRA,165.0,Nathalie Tauziat,Tauziat N.,1967-10-17
R,ITA,166.0,Laura Garrone,Garrone L.,1967-11-15
R,ITA,165.0,Laura Golarsa,Golarsa L.,1967-11-27
R,GEO,164.0,Leila Meskhi,Meskhi L.,1968-01-05
R,RUS,178.0,Eugenia Maniokova,Maniokova E.,1968-05-17
R,SWE,178.0,Cecilia Dahlman,Dahlman C.,1968-07-24
R,USA,165.0,Katrina Adams,Adams K.,1968-08-05
R,ARG,165.0,Patricia Tarabini,Tarabini P.,1968-08-06
R,AUT,175.0,Karin Kschwendt,Kschwendt K.,1968-09-14
R,CZE,175.0,Jana Novotna,Novotna J.,1968-10-02
R,USA,180.0,Shaun Stafford,Stafford S.,1968-12-13
R,ITA,159.0,Flora Perfetti,Perfetti F.,1969-01-29
R,AUS,146.0,Michelle Jaggard Lai,Jaggard Lai M.,1969-05-06
R,BUL,168.0,Katerina Maleeva,Maleeva K.,1969-05-07
R,GER,170.0,Wiltrud Probst,Probst W.,1969-05-29
R,NZL,170.0,Hana Adamkova Guy,Adamkova Guy H.,1969-06-08
R,GER,175.0,Steffi Graf,Graf S.,1969-06-14
L,USA,177.0,Nicole Arendt,Arendt N.,1969-08-26
R,USA,168.0,Sandra Birch,Birch S.,1969-09-03
R,AUS,176.0,Nicole Bradtke,Bradtke N.,1969-09-22
R,USA,180.0,Stephanie Rehe,Rehe S.,1969-11-05
R,AUS,177.0,Kristine Kunce,Kunce K.,1970-03-03
R,NED,180.0,Caroline Vis,Vis C.,1970-03-04
R,BEL,173.0,Sandra Wasserman,Wasserman S.,1970-03-10
R,ARG,175.0,Gabriela Sabatini,Sabatini G.,1970-05-16
R,BEL,178.0,Els Callens,Callens E.,1970-08-20
R,USA,183.0,Debbie Graham,Graham D.,1970-08-25
R,AUT,177.0,Barbara Paulus,Paulus B.,1970-09-01
R,FRA,173.0,Julie Halard Decugis,Halard Decugis J.,1970-09-10
R,JPN,163.0,Kimiko Date Krumm,Date Krumm K.,1970-09-28
R,INA,164.0,Yayuk Basuki,Basuki Y.,1970-11-30
R,SVK,169.0,Radomira Zrubakova,Zrubakova R.,1970-12-26
R,NED,188.0,Brenda Schultz Mccarthy,Schultz Mccarthy B.,1970-12-28
R,JPN,160.0,Mana Endo,Endo M.,1971-02-06
R,RSA,177.0,Mariaan De Swardt,De Swardt M.,1971-03-18
R,CAN,175.0,Maureen Drake,Drake M.,1971-03-21
R,AUS,178.0,Rennae Stubbs,Stubbs R.,1971-03-26
R,LAT,170.0,Agnese Gustmane,Gustmane A.,1971-04-09
R,JPN,163.0,Nana Smith,Smith N.,1971-04-10
R,BLR,174.0,Natalia Zvereva,Zvereva N.,1971-04-16
R,RSA,169.0,Kim Grant,Grant K.,1971-05-01
L,ARG,170.0,Florencia Labat,Labat F.,1971-06-12
R,USA,175.0,Mary Joe Fernandez,Fernandez J.,1971-08-19
R,USA,157.0,Kimberly Po Messerli,Po Messerli K.,1971-10-20
R,RSA,158.0,Amanda Coetzer,Coetzer A.,1971-10-22
R,UKR,176.0,Natalia Medvedeva,Medvedeva N.,1971-11-15
R,JPN,164.0,Yone Kamio,Kamio Y.,1971-11-22
R,JPN,157.0,Rika Hiraki,Hiraki R.,1971-12-06
R,ESP,168.0,Arantxa Sanchez Vicario,Sanchez Vicario A.,1971-12-18
R,GBR,168.0,Rachel Viollet,Viollet R.,1972-02-11
R,JPN,164.0,Naoko Kijimuta,Kijimuta N.,1972-03-26
R,FRA,176.0,Sandrine Testud,Testud S.,1972-04-03
R,ESP,170.0,Conchita Martinez,Martinez C.,1972-04-16
L,BEL,168.0,Sabine Appelmans,Appelmans S.,1972-04-22
R,ITA,172.0,Silvia Farina Elia,Farina Elia S.,1972-04-27
R,AUT,168.0,Petra Schwarz,Schwarz P.,1972-05-24
R,SVK,172.0,Katarina Studenikova,Studenikova K.,1972-09-02
R,NED,169.0,Miriam Oremans,Oremans M.,1972-09-09
R,USA,175.0,Amy Frazier,Frazier A.,1972-09-19
R,ROU,168.0,Ruxandra Dragomir Ilie,Dragomir Ilie R.,1972-10-24
R,HUN,172.0,Virag Csurgo,Csurgo V.,1972-11-10
R,AUS,159.0,Kerry Anne Guse,Guse A.,1972-12-04
R,AUT,172.0,Marion Maruska,Maruska M.,1972-12-15
R,CHN,166.0,Fang Li,Li F.,1973-01-01
R,ITA,168.0,Katia Piccolini,Piccolini K.,1973-01-15
R,CRO,177.0,Nadin Ercegovic,Ercegovic N.,1973-02-02
R,CZE,172.0,Radka Bobkova,Bobkova R.,1973-02-12
R,AUS,163.0,Nicole Pratt,Pratt N.,1973-03-05
R,JPN,167.0,Naoko Sawamatsu,Sawamatsu N.,1973-03-23
R,CRO,175.0,Maja Palaversic,Palaversic M.,1973-03-24
R,ISR,172.0,Tzipi Obziler,Obziler T.,1973-04-19
R,GER,173.0,Barbara Rittner,Rittner B.,1973-04-25
R,BEL,170.0,Dominique Monami,Monami D.,1973-05-31
R,AUS,171.0,Catherine Barclay,Barclay C.,1973-06-12
R,FRA,183.0,Caroline Dhenin,Dhenin C.,1973-06-13
R,ARG,169.0,Ines Gorrochategui,Gorrochategui I.,1973-06-13
R,SVK,170.0,Karina Habsudova,Habsudova K.,1973-08-02
R,USA,165.0,Lisa Raymond,Raymond L.,1973-08-10
R,RSA,179.0,Joannette Kruger,Kruger J.,1973-09-03
R,ESP,169.0,Virginia Ruano Pascual,Ruano Pascual V.,1973-09-21
L,ROU,168.0,Andreea Ehritt Vanc,Ehritt Vanc A.,1973-10-06
R,TPE,171.0,Shi Ting Wang,Wang T.,1973-10-19
R,FRA,176.0,Alexandra Fusai,Fusai A.,1973-11-22
L,USA,178.0,Monica Seles,Seles M.,1973-12-02
R,NED,178.0,Kristie Boogert,Boogert K.,1973-12-16
L,ESP,163.0,Gala Leon Garcia,Leon Garcia G.,1973-12-23
R,BUL,180.0,Svetlana Krivencheva,Krivencheva S.,1973-12-30
R,UKR,170.0,Olga Lugina,Lugina O.,1974-01-08
R,FRA,173.0,Lea Ghirardi,Ghirardi L.,1974-02-10
R,CHN,168.0,Jing Qian Yi,Yi Q.,1974-02-28
R,SLO,175.0,Tina Krizan,Krizan T.,1974-03-18
R,ROU,175.0,Irina Spirlea,Spirlea I.,1974-03-26
R,ITA,170.0,Germana Di Natale,Di Natale G.,1974-04-02
R,NED,166.0,Seda Noorlander,Noorlander S.,1974-05-22
R,VEN,168.0,Maria Vento Kabchi,Vento Kabchi M.,1974-05-24
R,SVK,169.0,Janette Husarova,Husarova J.,1974-06-04
R,CAN,175.0,Jana Nejedly,Nejedly J.,1974-06-09
R,USA,165.0,Jane Chi,Chi J.,1974-06-21
R,USA,160.0,Jill Craybas,Craybas J.,1974-07-04
R,GBR,159.0,Lucie Ahl,Ahl L.,1974-07-23
R,HUN,165.0,Anna Foldenyi Dicker,Foldenyi Dicker A.,1974-08-22
R,ESP,171.0,Cristina Torrens Valero,Torrens Valero C.,1974-09-12
R,AUS,174.0,Lisa Mcshea,Mcshea L.,1974-10-29
R,GER,173.0,Meike Babel,Babel M.,1974-11-22
R,GER,173.0,Anke Huber,Huber A.,1974-12-04
R,FRA,178.0,Mary Pierce,Pierce M.,1975-01-15
R,KOR,165.0,Sung Hee Park,Park H.,1975-02-17
R,ITA,177.0,Rita Grande,Grande R.,1975-03-23
R,BUL,168.0,Magdalena Maleeva,Maleeva M.,1975-04-01
R,GER,178.0,Petra Begerow,Begerow P.,1975-04-14
R,PAR,170.0,Larissa Schaerer,Schaerer L.,1975-04-15
R,ROU,178.0,Catalina Cristea,Cristea C.,1975-06-02
R,SWE,178.0,Asa Carlsson,Carlsson A.,1975-06-16
R,JPN,163.0,Ai Sugiyama,Sugiyama A.,1975-07-05
R,CZE,165.0,Kveta Peschke,Peschke K.,1975-07-09
R,GER,168.0,Marketa Kochta,Kochta M.,1975-07-14
R,ITA,163.0,Gloria Pizzichini,Pizzichini G.,1975-07-24
R,ESP,157.0,Angeles Montolio,Montolio A.,1975-08-06
R,RUS,174.0,Elena Likhovtseva,Likhovtseva E.,1975-09-08
R,PAR,170.0,Rossana De Los Rios,De Los Rios R.,1975-09-16
R,LUX,165.0,Anne Kremer,Kremer A.,1975-10-17
L,GBR,173.0,Julie Pullin,Pullin J.,1975-11-05
R,CZE,175.0,Alena Vaskova,Vaskova A.,1975-11-08
R,BEL,172.0,Laurence Courtois,Courtois L.,1976-01-18
L,CAN,180.0,Vanessa Webb,Webb V.,1976-01-24
L,BEL,160.0,Nancy Feber,Feber N.,1976-02-05
R,NED,167.0,Amanda Hopmans,Hopmans A.,1976-02-11
R,USA,168.0,Chanda Rubin,Rubin C.,1976-02-18
R,ITA,160.0,Adriana Serra Zanetti,Serra Zanetti A.,1976-03-05
R,AUT,176.0,Barbara Schett,Schett B.,1976-03-10
R,ARG,172.0,Mariana Diaz Oliva,Diaz Oliva M.,1976-03-11
R,JPN,168.0,Miho Saeki,Saeki M.,1976-03-18
R,USA,170.0,Jennifer Capriati,Capriati J.,1976-03-29
R,JPN,161.0,Yuka Yoshida,Yoshida Y.,1976-04-01
R,CZE,170.0,Lenka Nemeckova,Nemeckova L.,1976-04-20
R,CAN,157.0,Sonya Jeyaseelan,Jeyaseelan S.,1976-04-24
R,ITA,175.0,Alessia Lombardi,Lombardi A.,1976-05-24
R,USA,168.0,Mashona Washington,Washington M.,1976-05-31
R,USA,189.0,Lindsay Davenport,Davenport L.,1976-06-08
R,ARG,170.0,Paola Suarez,Suarez P.,1976-06-23
R,CZE,166.0,Adriana Gersi,Gersi A.,1976-06-26
R,JPN,170.0,Shinobu Asagoe,Asagoe S.,1976-06-28
R,NOR,173.0,Karoline Borgersen,Borgersen K.,1976-07-01
R,SUI,171.0,Emmanuelle Gagliardi,Gagliardi E.,1976-07-09
R,ISR,157.0,Anna Smashnova,Smashnova A.,1976-07-16
R,GER,168.0,Andrea Glass,Glass A.,1976-07-17
R,BEL,172.0,Stephanie De Ville,De Ville S.,1976-07-24
R,CAN,168.0,Renata Kolbovic,Kolbovic R.,1976-07-30
R,RUS,154.0,Tatiana Panova,Panova T.,1976-08-13
R,USA,180.0,Liezel Huber,Huber L.,1976-08-21
L,UKR,170.0,Elena Tatarkova,Tatarkova E.,1976-08-22
R,GER,181.0,Jana Kandarr,Kandarr J.,1976-09-21
R,BRA,173.0,Vanessa Menga,Menga V.,1976-10-20
R,BEL,165.0,Patty Van Acker,Van Acker P.,1976-10-21
R,TPE,175.0,Janet Lee,Lee J.,1976-10-22
R,AUT,168.0,Evelyn Fauth,Fauth E.,1976-11-27
R,IND,170.0,Nirupama Vaidyanathan,Vaidyanathan N.,1976-12-08
R,RUS,168.0,Alina Jidkova,Jidkova A.,1977-01-18
R,CZE,175.0,Lenka Cenkova,Cenkova L.,1977-01-24
R,FRA,162.0,Sophie Georges,Georges S.,1977-02-08
R,MAD,165.0,Dally Randriantefy,Randriantefy D.,1977-02-23
R,PUR,168.0,Kristina Brandi,Brandi K.,1977-03-29
L,GER,175.0,Anca Barna,Barna A.,1977-05-14
R,THA,165.0,Tamarine Tanasugarn,Tanasugarn T.,1977-05-24
R,USA,175.0,Tara Snyder,Snyder T.,1977-05-26
R,JPN,168.0,Haruka Inoue,Inoue H.,1977-06-07
R,GER,172.0,Angelika Roesch,Roesch A.,1977-06-08
R,NED,175.0,Yvette Basting,Basting Y.,1977-06-08
R,ITA,172.0,Tathiana Garbin,Garbin T.,1977-06-30
R,TUN,166.0,Selima Sfar,Sfar S.,1977-07-08
L,ITA,168.0,Francesca Lubiani,Lubiani F.,1977-07-12
R,AUT,177.0,Sylvia Plischke,Plischke S.,1977-07-20
R,CRO,175.0,Iva Majoli,Majoli I.,1977-08-12
R,AUS,175.0,Jodi Richardson,Richardson J.,1977-08-12
L,AUS,170.0,Trudi Musgrave,Musgrave T.,1977-09-10
R,IND,170.0,Rushmi Chakravarthi,Chakravarthi R.,1977-10-09
R,ESP,171.0,Maria Sanchez Lorenzo,Sanchez Lorenzo M.,1977-11-07
R,POL,165.0,Aleksandra Olsza,Olsza A.,1977-12-08
R,USA,155.0,Karin Miller,Miller K.,1977-12-10
R,CRO,173.0,Silvija Talaja,Talaja S.,1978-01-14
R,USA,163.0,Meilen Tu,Tu M.,1978-01-17
R,HUN,178.0,Petra Mandula,Mandula P.,1978-01-17
R,USA,174.0,Corina Morariu,Morariu C.,1978-01-26
R,AUS,165.0,Annabel Ellwood,Ellwood A.,1978-02-02
R,NED,180.0,Jolanda Mens,Mens J.,1978-02-04
L,HUN,176.0,Rita Kuti Kis,Kuti Kis R.,1978-02-13
R,GBR,173.0,Claire Curran,Curran C.,1978-03-10
R,MAD,173.0,Natacha Randriantefy,Randriantefy N.,1978-03-14
R,SUI,173.0,Miroslava Vavrinec,Vavrinec M.,1978-04-01
R,USA,170.0,Lilia Osterloh,Osterloh L.,1978-04-07
R,CZE,168.0,Hana Sromova,Sromova H.,1978-04-10
R,ITA,169.0,Giulia Casoni,Casoni G.,1978-04-19
L,JPN,165.0,Saori Obata,Obata S.,1978-04-23
R,ITA,173.0,Alice Canepa,Canepa A.,1978-04-30
R,CZE,177.0,Sandra Kleinova,Kleinova S.,1978-05-08
R,GER,173.0,Adriana Barna,Barna A.,1978-05-21
R,USA,175.0,Amanda Basica,Basica A.,1978-06-20
R,RSA,177.0,Surina De Beer,De Beer S.,1978-06-28
R,SRB,180.0,Tatjana Jecmenica,Jecmenica T.,1978-07-04
R,AUT,175.0,Patricia Wartusch,Wartusch P.,1978-08-05
R,RSA,173.0,Jessica Steck,Steck J.,1978-08-06
R,POL,184.0,Magdalena Grzybowska,Grzybowska M.,1978-11-22
R,USA,175.0,Teryn Ashley,Ashley T.,1978-12-12
L,SUI,168.0,Patty Schnyder,Schnyder P.,1978-12-14
R,SVK,177.0,Henrieta Nagyova,Nagyova H.,1978-12-15
L,RUS,163.0,Eugenia Kulikovskaya,Kulikovskaya E.,1978-12-21
L,USA,168.0,Julie Ditty,Ditty J.,1979-01-04
R,COL,172.0,Fabiola Zuluaga,Zuluaga F.,1979-01-07
R,BLR,176.0,Tatiana Poutchek,Poutchek T.,1979-01-09
L,BRA,170.0,Joana Cortez,Cortez J.,1979-01-11
R,USA,173.0,Samantha Reeves,Reeves S.,1979-01-17
L,AUT,181.0,Barbara Schwartz,Schwartz B.,1979-01-27
R,CZE,174.0,Denisa Chladkova,Chladkova D.,1979-02-08
R,INA,170.0,Liza Andriyani,Andriyani L.,1979-02-12
R,ZIM,167.0,Cara Black,Black C.,1979-02-17
R,FRA,177.0,Nathalie Dechy,Dechy N.,1979-02-21
L,ESP,167.0,Magui Serna,Serna M.,1979-03-01
R,KOR,167.0,Yoon Jeong Cho,Cho J.,1979-04-02
R,FRA,170.0,Sophie Erre,Erre S.,1979-04-06
R,HUN,180.0,Greta Arn,Arn G.,1979-04-13
R,USA,180.0,Meghann Shaughnessy,Shaughnessy M.,1979-04-13
R,PHI,152.0,Marisue Jacutin,Jacutin M.,1979-05-14
R,RUS,176.0,Maria Goloviznina,Goloviznina M.,1979-06-05
R,TUR,180.0,Ipek Senoglu,Senoglu I.,1979-06-08
L,FRA,167.0,Emilie Loit,Loit E.,1979-06-09
R,GER,173.0,Sandra Kloesel,Kloesel S.,1979-06-22
R,FRA,175.0,Amelie Mauresmo,Mauresmo A.,1979-07-05
R,COL,171.0,Catalina Castano,Castano C.,1979-07-07
R,CZE,176.0,Libuse Prusova,Prusova L.,1979-07-13
L,FRA,172.0,Anne Gaelle Sidot,Sidot G.,1979-07-24
R,UKR,174.0,Anna Zaporozhanova,Zaporozhanova A.,1979-08-09
R,FRA,171.0,Severine Beltrame,Beltrame S.,1979-08-14
R,SVK,171.0,Ludmila Cervanova,Cervanova L.,1979-10-15
R,BLR,172.0,Olga Barabanschikova,Barabanschikova O.,1979-11-02
R,KAZ,178.0,Irina Selyutina,Selyutina I.,1979-11-07
R,BRA,173.0,Simone Jardim,Jardim S.,1979-11-07
R,HUN,178.0,Katalin Marosi,Marosi K.,1979-11-12
R,AUS,174.0,Bryanne Stewart,Stewart B.,1979-12-09
R,JPN,165.0,Akiko Morigami,Morigami A.,1980-01-12
R,SLO,170.0,Petra Rampre,Rampre P.,1980-01-20
R,USA,175.0,Brie Rippner,Rippner B.,1980-01-21
R,GER,174.0,Marlene Weingartner,Weingartner M.,1980-01-30
R,ROU,177.0,Raluca Sandu,Sandu R.,1980-02-03
R,DEN,175.0,Eva Dyrberg,Dyrberg E.,1980-02-17
R,CZE,176.0,Michaela Pastikova,Pastikova M.,1980-03-27
R,COL,166.0,Mariana Mesa,Mesa M.,1980-04-01
R,ITA,165.0,Alberta Brianti,Brianti A.,1980-04-05
R,ROU,170.0,Anda Perianu,Perianu A.,1980-04-07
L,AUT,174.0,Sybille Bammer,Bammer S.,1980-04-27
R,CZE,174.0,Zuzana Ondraskova,Ondraskova Z.,1980-05-03
R,BIH,179.0,Mervana Jugic Salkic,Jugic Salkic M.,1980-05-14
R,ESP,156.0,Nuria Llagostera Vives,Llagostera Vives N.,1980-05-16
R,AUS,173.0,Evie Dominikovic,Dominikovic E.,1980-05-29
L,SLO,175.0,Maja Matevzic,Matevzic M.,1980-06-13
R,USA,185.0,Venus Williams,Williams V.,1980-06-17
R,ITA,166.0,Francesca Schiavone,Schiavone F.,1980-06-23
R,USA,170.0,Marissa Irvin,Irvin M.,1980-06-23
R,ITA,168.0,Antonella Serra Zanetti,Serra Zanetti A.,1980-07-25
R,GER,176.0,Jasmin Woehr,Woehr J.,1980-08-21
R,SUI,170.0,Martina Hingis,Hingis M.,1980-09-30
